127.0.0.1 - - [15/Jun/2023:09:15:44 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/ HTTP/1.1" 200 21629
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/assets/js/bootstrap.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/assets/js/jquery.easing-1.3.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/assets/js/jquery.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/assets/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/assets/js/shop.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/assets/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/assets/user/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Jun/2023:09:15:47 +0700] "GET /WebBanHang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
