127.0.0.1 - - [14/Jul/2023:20:48:38 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/ HTTP/1.1" 200 29841
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/js/shop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/slide/Picture3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/slide/Picture4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/slide/Picture6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/slide/Picture5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/maestro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/g.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/i.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/h.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/mc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:20:48:39 +0700] "GET /WebBanHang/assets/user/img/disc.png HTTP/1.1" 304 -
